YEAR,FAC_NO,FAC_NAME,BEG_DATE,END_DATE,COUNTY_NAME,TYPE_CNTRL,PATIENT_DAYS,PRDHR_MGT,PRDHR_RN,PRDHR_LVN,PRDHR_NA,PRDHR_TSP,PRDHR_PSY,PRDHR_OTH
2012,206010798,DRIFTWOOD HEALTHCARE CENTER-HAYWARD,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,29387,1957,25307,10711,64645,0,0,2104
2011,206010798,DRIFTWOOD HEALTHCARE CENTER-HAYWARD,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Alameda,Investor Owned,29316,2023,21078,13978,62573,0,0,2159
2015,206010806,HAYWARD HEALTHCARE & WELLNESS CENTER,09/01/2014 12:00:00 AM,08/31/2015 12:00:00 AM,Alameda,Investor Owned,34494,1928,7330,32965,78798,0,0,4968
2014,206010806,HAYWARD HEALTHCARE & WELLNESS CENTER,09/01/2013 12:00:00 AM,08/31/2014 12:00:00 AM,Alameda,Investor Owned,34221,1976,9544,29380,76897,0,0,4506
2013,206010806,HAYWARD HEALTHCARE & WELLNESS CENTER,09/01/2012 12:00:00 AM,08/31/2013 12:00:00 AM,Alameda,Investor Owned,33774,1983,9608,27483,76239,0,0,5066
2012,206010806,HAYWARD HEALTHCARE & WELLNESS CENTER,09/01/2011 12:00:00 AM,08/31/2012 12:00:00 AM,Alameda,Investor Owned,34274,2016,6763,29124,76826,0,0,5147
2011,206010806,HAYWARD HEALTHCARE & WELLNESS CENTER,09/01/2010 12:00:00 AM,08/31/2011 12:00:00 AM,Alameda,Investor Owned,34537,1992,6610,27576,77562,0,0,4119
2015,206010807,ELMWOOD CARE CENTER,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Alameda,Investor Owned,25385,1979,12671,24374,61325,0,0,2947
2014,206010807,ELMWOOD CARE CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,26133,1944,13774,21447,60930,0,0,3733
2013,206010807,ELMWOOD CARE CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,26028,2070,16318,18513,61744,0,0,3098
2012,206010807,ELMWOOD CARE CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,25312,1926,14306,20511,61894,0,0,422
2011,206010807,ELMWOOD CARE CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Alameda,Investor Owned,25630,2008,13893,20617,62836,0,0,228
2015,206010808,BAY AREA HEALTHCARE CENTER,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Alameda,Investor Owned,28306,1966,43035,33009,83096,10853,0,1890
2014,206010808,BAY AREA HEALTHCARE CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,27096,3778,38068,29575,77181,6078,0,0
2013,206010808,BAY AREA HEALTHCARE CENTER,11/01/2012 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,30923,6322,32930,24261,80761,0,0,11753
2012,206010808,BAY AREA HEALTHCARE CENTER,11/01/2011 12:00:00 AM,10/31/2012 12:00:00 AM,Alameda,Investor Owned,23432,5404,11300,13840,54824,0,0,701
2015,206010815,CRESTWOOD TREATMENT CENTER-FREMONT,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Alameda,Investor Owned,23149,2048,12665,15613,64734,0,0,0
2014,206010815,CRESTWOOD TREATMENT CENTER-FREMONT,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,22695,1936,12476,15827,63926,0,0,0
2013,206010815,CRESTWOOD TREATMENT CENTER-FREMONT,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,22683,1832,12942,15045,63062,0,0,0
2012,206010815,CRESTWOOD TREATMENT CENTER-FREMONT,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,22761,3276,6894,17707,63183,0,0,0
2011,206010815,CRESTWOOD TREATMENT CENTER-FREMONT,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Alameda,Investor Owned,22402,2146,4468,20092,61943,0,0,0
2015,206010824,WINDSOR POST ACUTE CARE CENTER OF HAYWARD,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Alameda,Investor Owned,32496,3451,15863,22931,74503,0,0,4980
2014,206010824,WINDSOR POST ACUTE CARE CENTER OF HAYWARD,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,32729,1830,17857,20450,72724,0,0,1796
2013,206010824,WINDSOR POST ACUTE CARE CENTER OF HAYWARD,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,32770,1979,22558,18568,73230,0,0,0
2012,206010824,WINDSOR POST ACUTE CARE CENTER OF HAYWARD,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,32675,1904,18643,18211,72492,0,0,0
2011,206010824,WINDSOR POST ACUTE CARE CENTER OF HAYWARD,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Alameda,Investor Owned,32876,1968,19804,18106,75142,0,0,0
2015,206010825,KINDRED NURSING AND HEALTHCARE - LIVERMORE,07/01/2014 12:00:00 AM,06/30/2015 12:00:00 AM,Alameda,Investor Owned,26926,1662,11496,19794,61078,0,0,3501
2014,206010825,KINDRED NURSING AND HEALTHCARE - LIVERMORE,07/01/2013 12:00:00 AM,06/30/2014 12:00:00 AM,Alameda,Investor Owned,26932,1838,10227,19871,61618,0,0,3276
2013,206010825,KINDRED NURSING AND HEALTHCARE - LIVERMORE,07/01/2012 12:00:00 AM,06/30/2013 12:00:00 AM,Alameda,Investor Owned,27382,1794,10419,19920,64056,0,0,2717
2012,206010825,KINDRED NURSING AND HEALTHCARE - LIVERMORE,07/01/2011 12:00:00 AM,06/30/2012 12:00:00 AM,Alameda,Investor Owned,27201,1947,11051,18786,63255,0,0,3083
2011,206010825,KINDRED NURSING AND HEALTHCARE - LIVERMORE,07/01/2010 12:00:00 AM,06/30/2011 12:00:00 AM,Alameda,Investor Owned,27483,1870,13631,14632,63554,0,0,2664
2015,206010831,HAYWARD CONVALESCENT HOSPITAL,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Alameda,Investor Owned,31376,1827,9377,24197,72402,0,0,0
2014,206010831,HAYWARD CONVALESCENT HOSPITAL,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,32689,1936,10739,22390,73897,0,0,0
2013,206010831,HAYWARD CONVALESCENT HOSPITAL,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,31915,3567,9812,22066,71654,0,0,0
2012,206010831,HAYWARD CONVALESCENT HOSPITAL,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,34056,1945,11588,22738,78006,0,0,0
2011,206010831,HAYWARD CONVALESCENT HOSPITAL,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Alameda,Investor Owned,32161,1945,10448,20637,71876,0,0,0
2015,206010832,HAYWARD HILLS HEALTH CARE CENTER,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Alameda,Investor Owned,25751,1920,13212,15181,55596,0,0,3183
2014,206010832,HAYWARD HILLS HEALTH CARE CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,25913,1926,14798,14410,56822,0,0,566
2013,206010832,HAYWARD HILLS HEALTH CARE CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,25562,1704,17051,12258,55958,0,0,1995
2012,206010832,HAYWARD HILLS HEALTH CARE CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,25071,1839,17557,11799,53222,0,0,2072
2011,206010832,HAYWARD HILLS HEALTH CARE CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Alameda,Investor Owned,24418,1731,18620,12321,51348,0,0,1973
2014,206010845,OAKHILL SPRINGS CARE CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,15380,1513,585,14648,34950,0,0,1311
2013,206010845,OAKHILL SPRINGS CARE CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,14668,693,1852,13636,32788,0,0,680
2012,206010845,OAKHILL SPRINGS CARE CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,14622,1977,1891,12327,34062,0,0,0
2011,206010845,OAKHILL SPRINGS CARE CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Alameda,Investor Owned,14982,2088,2524,13173,35771,0,0,0
2015,206010848,OAKLAND HEALTHCARE & WELLNESS CENTER,09/01/2014 12:00:00 AM,08/31/2015 12:00:00 AM,Alameda,Investor Owned,33516,2026,11255,27091,72652,0,0,7137
2014,206010848,OAKLAND HEALTHCARE & WELLNESS CENTER,09/01/2013 12:00:00 AM,08/31/2014 12:00:00 AM,Alameda,Investor Owned,33293,1817,15510,22577,76033,0,0,7634
2013,206010848,OAKLAND HEALTHCARE & WELLNESS CENTER,09/01/2012 12:00:00 AM,08/31/2013 12:00:00 AM,Alameda,Investor Owned,32069,1811,13409,23559,71356,0,0,7353
2012,206010848,OAKLAND HEALTHCARE & WELLNESS CENTER,09/01/2011 12:00:00 AM,08/31/2012 12:00:00 AM,Alameda,Investor Owned,33351,2918,11248,24407,76627,0,0,6584
2011,206010848,OAKLAND HEALTHCARE & WELLNESS CENTER,09/01/2010 12:00:00 AM,08/31/2011 12:00:00 AM,Alameda,Investor Owned,31461,1480,11727,22732,70172,0,0,5682
2015,206010851,BELLAKEN SKILLED NURSING CENTER,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Alameda,Investor Owned,21921,1952,7908,15174,51730,0,0,2080
2014,206010851,BELLAKEN SKILLED NURSING CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,21844,2048,12474,12229,51242,0,0,2196
2013,206010851,BELLAKEN SKILLED NURSING CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,21950,1878,12118,13107,52070,0,0,1181
2012,206010851,BELLAKEN SKILLED NURSING CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,21992,1909,12128,14058,51832,26,0,0
2011,206010851,BELLAKEN SKILLED NURSING CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Alameda,Investor Owned,21963,1343,11537,14003,54282,0,0,0
2015,206010854,PROVIDENCE ALL SAINT'S SUBACUTE,03/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Alameda,Investor Owned,20039,2796,27400,35988,56974,0,0,0
2014,206010854,PROVIDENCE ALL SAINT'S SUBACUTE,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,24337,2723,40316,32279,68521,0,0,3083
2013,206010854,PROVIDENCE ALL SAINT'S SUBACUTE,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,27370,1911,51646,31871,82774,0,0,1844
2012,206010854,PROVIDENCE ALL SAINT'S SUBACUTE,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,27747,2088,51704,35774,84782,0,0,3795
2011,206010854,PROVIDENCE ALL SAINT'S SUBACUTE,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Alameda,Investor Owned,28258,2088,45908,39557,84641,0,0,3826
2015,206010855,JONES CONVALESCENT HOSPITAL,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Alameda,Investor Owned,8068,1941,3316,6074,20401,0,0,0
2014,206010855,JONES CONVALESCENT HOSPITAL,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,8366,1985,3687,5826,23631,0,0,154
2013,206010855,JONES CONVALESCENT HOSPITAL,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,8602,1993,3455,6055,23187,0,0,623
2012,206010855,JONES CONVALESCENT HOSPITAL,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,8575,1966,3649,7031,22534,0,0,285
2011,206010855,JONES CONVALESCENT HOSPITAL,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Alameda,Investor Owned,8512,1803,3067,8471,24377,0,0,0
2015,206010862,WISTERIA CARE CENTER,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Alameda,Investor Owned,7685,2080,3048,6306,17036,0,0,0
2014,206010862,WISTERIA CARE CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,7887,1940,1763,7600,17629,0,0,0
2013,206010862,WISTERIA CARE CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,8292,1949,1589,7801,18241,0,0,0
2012,206010862,WISTERIA CARE CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,8005,2080,1115,7590,16485,0,0,0
2015,206010863,KYAKAMEENA CARE CENTER,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Alameda,Investor Owned,19926,1854,4587,17055,49459,0,0,0
2014,206010863,KYAKAMEENA CARE CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,20756,1993,7131,14776,50000,0,0,358
2013,206010863,KYAKAMEENA CARE CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,20602,1978,8398,11518,51096,0,0,2490
2012,206010863,KYAKAMEENA CARE CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,20631,1979,6386,14459,50516,0,0,436
2011,206010863,KYAKAMEENA CARE CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Alameda,Investor Owned,20852,1665,4198,16732,51962,0,0,141
2015,206010866,LAKE PARK RETIREMENT RESIDENCE,07/01/2014 12:00:00 AM,06/30/2015 12:00:00 AM,Alameda,Not-for-Profit,8310,324,8494,153,22237,0,0,0
2014,206010866,LAKE PARK RETIREMENT RESIDENCE,07/01/2013 12:00:00 AM,06/30/2014 12:00:00 AM,Alameda,Not-for-Profit,9171,1812,3398,7196,24127,0,0,0
2013,206010866,LAKE PARK RETIREMENT RESIDENCE,07/01/2012 12:00:00 AM,06/30/2013 12:00:00 AM,Alameda,Not-for-Profit,8597,2193,3148,7580,23692,0,0,0
2012,206010866,LAKE PARK RETIREMENT RESIDENCE,07/01/2011 12:00:00 AM,06/30/2012 12:00:00 AM,Alameda,Not-for-Profit,10048,2098,3096,7344,28754,0,0,0
2011,206010866,LAKE PARK RETIREMENT RESIDENCE,07/01/2010 12:00:00 AM,06/30/2011 12:00:00 AM,Alameda,Not-for-Profit,9891,2080,2766,7036,27195,0,0,0
2015,206010874,SILVER OAK MANOR,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Alameda,Investor Owned,12973,1557,5186,5251,31216,0,0,0
2014,206010874,SILVER OAK MANOR,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,12986,1929,5339,5354,31960,0,0,0
2013,206010874,SILVER OAK MANOR,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,12965,1913,6628,5053,38258,0,0,0
2012,206010874,SILVER OAK MANOR,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,13017,2016,7444,3416,32454,0,0,0
2011,206010874,SILVER OAK MANOR,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Alameda,Investor Owned,12928,1841,7110,3201,32351,0,0,0
2014,206010875,OAKGROVE SPRINGS CARE CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,17528,2080,6553,8793,42213,0,0,0
2013,206010875,OAKGROVE SPRINGS CARE CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,18000,2080,7712,7508,41537,0,0,0
2012,206010875,OAKGROVE SPRINGS CARE CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,18276,2080,5702,9798,43616,0,0,0
2011,206010875,OAKGROVE SPRINGS CARE CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Alameda,Investor Owned,17892,2166,5732,10568,45798,0,0,0
2015,206010876,WINDSOR GARDENS CARE CTR OF HAYWARD,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Alameda,Investor Owned,25346,1754,10903,17561,56706,0,0,3383
2014,206010876,WINDSOR GARDENS CARE CTR OF HAYWARD,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,24978,1740,15506,13303,56308,0,0,1822
2013,206010876,WINDSOR GARDENS CARE CTR OF HAYWARD,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,24296,1843,17497,14601,53433,0,0,0
2012,206010876,WINDSOR GARDENS CARE CTR OF HAYWARD,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,24429,1678,18996,14566,55755,0,0,0
2011,206010876,WINDSOR GARDENS CARE CTR OF HAYWARD,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Alameda,Investor Owned,25037,1945,17349,17135,62305,0,0,0
